name,slug,category,brand,description,listPrice,price,countInStock,images,tags,isPublished,sku,specifications,dimensions,weight,material,finish,energyRating,energyConsumption,capacity,warrantyDetails,installationRequired,modelNumber
TCL 55S423 55" 4K Smart Roku TV,tcl-55s423-55-4k-smart-roku-tv,televisions,TCL,"55-inch 4K Smart Roku TV with 200VA transformer and wide color gamut.",2499.8,2499.8,1,(to be provided),television; 4k; roku; tcl; smart,TRUE,06-TCL-55S423,"Screen Size: 55""; Resolution: 4K UHD; Smart Features: Roku TV; Color Technology: Wide Color Gamut; Power Supply: 200VA",,,,,,," N/A","Coverage Period: 13 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,55S423
TCL 70S434 70" 4K Smart LED TV,tcl-70s434-70-4k-smart-led-tv,televisions,TCL,"70-inch 4K Smart LED TV with 500VA transformer and HDR Pro.",4460.2,4460.2,1,(to be provided),television; 4k; led; tcl; hdr,TRUE,06-TCL-70S434,"Screen Size: 70""; Resolution: 4K UHD; Display Type: LED; HDR Support: HDR Pro; Power Supply: 500VA",,,,,,," N/A","Coverage Period: 14 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,70S434
Hisense 50A7N 50" 4K UHD Smart TV,hisense-50a7n-50-4k-uhd-smart-tv,televisions,HISENSE,"50-inch 4K UHD Smart TV with VIDAA U6 OS and Dolby Atmos.",2140.2,2140.2,17,(to be provided),television; 4k; smart; hisense; dolby-atmos,TRUE,06-HISE-50A7N,"Screen Size: 50""; Resolution: 4K UHD; Smart Features: VIDAA U6; Sound: Dolby Atmos",,,,,,," N/A","Coverage Period: 15 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,50A7N
Hisense 32A4HNR 32" Roku Smart TV,hisense-32a4hnr-32-roku-smart-tv,televisions,HISENSE,"32-inch Roku Smart TV with HD resolution and voice control.",1154.2,1154.2,14,(to be provided),television; roku; smart; hisense; 32-inch,TRUE,06-HISE-32A4HNR,"Screen Size: 32""; Resolution: HD (720p); Smart Features: Roku TV; Voice Control: Yes",,,,,,," N/A","Coverage Period: 16 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,32A4HNR
Hisense 40H4030F4 40" LED Smart TV,hisense-40h4030f4-40-led-smart-tv,televisions,HISENSE,"40-inch LED Smart TV with 1080p resolution and Alexa compatibility.",1444.2,1444.2,9,(to be provided),television; led; smart; hisense; alexa,TRUE,06-HISE-40H4030F4,"Screen Size: 40""; Resolution: 1080p; Smart Features: Alexa Built-in; Display Type: LED",,,,,,," N/A","Coverage Period: 17 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,40H4030F4
Samsung UN32T4202AP 32" LED Smart TV,samsung-un32t4202ap-32-led-smart-tv,televisions,SAMSUNG,"32-inch LED Smart TV with HD resolution and Tizen OS.",1305,1305,39,(to be provided),television; led; smart; samsung; tizen,TRUE,06-SAM-UN32T4202AP,"Screen Size: 32""; Resolution: HD (720p); Smart Features: Tizen OS; Display Type: LED",,,,,,," N/A","Coverage Period: 18 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN32T4202AP
Samsung UN40N5200AF 40" Smart TV,samsung-un40n5200af-40-smart-tv,televisions,SAMSUNG,"40-inch Smart TV with 1080p resolution and Samsung Smart Hub.",1850.2,1850.2,27,(to be provided),television; smart; samsung; 40-inch,TRUE,06-SAM-UN40N5200AF,"Screen Size: 40""; Resolution: 1080p; Smart Features: Samsung Smart Hub",,,,,,," N/A","Coverage Period: 19 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN40N5200AF
Samsung UN65DU7200F 65" Crystal UHD TV,samsung-un65du7200f-65-crystal-uhd-tv,televisions,SAMSUNG,"65-inch Crystal UHD TV with 4K resolution and PurColor technology.",3474.2,3474.2,3,(to be provided),television; 4k; samsung; crystal-uhd,TRUE,06-SAM-UN65DU7200F,"Screen Size: 65""; Resolution: 4K UHD; Display Technology: Crystal UHD; Features: PurColor",,,,,,," N/A","Coverage Period: 20 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN65DU7200F
Samsung UN55DU7200F 55" 4K Smart TV,samsung-un55du7200f-55-4k-smart-tv,televisions,SAMSUNG,"55-inch 4K Smart TV with HDR support and Alexa compatibility.",3010.2,3010.2,2,(to be provided),television; 4k; smart; samsung; hdr,TRUE,06-SAM-UN55DU7200F,"Screen Size: 55""; Resolution: 4K UHD; Smart Features: Alexa Built-in; HDR Support: Yes",,,,,,," N/A","Coverage Period: 21 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN55DU7200F
Samsung UN43TU7000B 43" 4K Smart TV,samsung-un43tu7000b-43-4k-smart-tv,televisions,SAMSUNG,"43-inch 4K Smart TV with 200VA transformer and Crystal Display.",2952.2,2952.2,2,(to be provided),television; 4k; smart; samsung; crystal-display,TRUE,06-SAM-UN43TU7000B,"Screen Size: 43""; Resolution: 4K UHD; Power Supply: 200VA; Display Type: Crystal Display",,,,,,," N/A","Coverage Period: 22 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN43TU7000B
Samsung UN50DU7200F 50" 4K Smart TV,samsung-un50du7200f-50-4k-smart-tv,televisions,SAMSUNG,"50-inch 4K Smart TV with 200VA transformer and Object Tracking Sound.",2923.2,2923.2,1,(to be provided),television; 4k; smart; samsung; ots,TRUE,06-SAM-UN50DU7200F,"Screen Size: 50""; Resolution: 4K UHD; Sound Technology: Object Tracking Sound; Power Supply: 200VA",,,,,,," N/A","Coverage Period: 23 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN50DU7200F
Samsung LH43BETHLGFXZ 43" 4K Smart TV,samsung-lh43bethlgfxz-43-4k-smart-tv,televisions,SAMSUNG,"43-inch 4K Smart TV with 200VA transformer and anti-glare screen.",2662.2,2662.2,1,(to be provided),television; 4k; smart; samsung; anti-glare,TRUE,06-SAM-LH43BETHLGFXZ,"Screen Size: 43""; Resolution: 4K UHD; Features: Anti-Glare Screen; Power Supply: 200VA",,,,,,," N/A","Coverage Period: 24 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,LH43BETHLGFXZ
Samsung BE32T-B 32" Smart LED TV,samsung-be32t-b-32-smart-led-tv,televisions,SAMSUNG,"32-inch Smart LED TV with HD resolution and Samsung Health features.",1328.2,1328.2,1,(to be provided),television; led; smart; samsung; health,TRUE,06-SAM-BE32T-B,"Screen Size: 32""; Resolution: HD (720p); Smart Features: Samsung Health; Display Type: LED",,,,,,," N/A","Coverage Period: 25 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,BE32T-B
Samsung UN32N5300AF 32" Smart TV,samsung-un32n5300af-32-smart-tv,televisions,SAMSUNG,"32-inch Smart TV with 100VA transformer and Clean Cable Solution.",1734.2,1734.2,1,(to be provided),television; smart; samsung; 32-inch,TRUE,06-SAM-UN32N5300AF,"Screen Size: 32""; Resolution: HD (720p); Power Supply: 100VA; Design: Clean Cable Solution",,,,,,," N/A","Coverage Period: 26 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN32N5300AF
Samsung UN50TU7000F 50" 4K Smart TV,samsung-un50tu7000f-50-4k-smart-tv,televisions,SAMSUNG,"50-inch 4K Smart TV with 200VA transformer and Adaptive Picture.",3474.2,3474.2,1,(to be provided),television; 4k; smart; samsung; adaptive-picture,TRUE,06-SAM-UN50TU7000F,"Screen Size: 50""; Resolution: 4K UHD; Features: Adaptive Picture; Power Supply: 200VA",,,,,,," N/A","Coverage Period: 27 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN50TU7000F
Samsung UN58TU7000P 58" 4K Smart TV,samsung-un58tu7000p-58-4k-smart-tv,televisions,SAMSUNG,"58-inch 4K Smart TV with 300VA transformer and Ambient Mode.",3961.4,3961.4,1,(to be provided),television; 4k; smart; samsung; ambient-mode,TRUE,06-SAM-UN58TU7000P,"Screen Size: 58""; Resolution: 4K UHD; Features: Ambient Mode; Power Supply: 300VA",,,,,,," N/A","Coverage Period: 28 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN58TU7000P
Samsung UN75DU7200B 75" 4K Smart TV,samsung-un75du7200b-75-4k-smart-tv,televisions,SAMSUNG,"75-inch 4K Smart TV with Crystal UHD and Multi-View feature.",5214.2,5214.2,1,(to be provided),television; 4k; smart; samsung; multi-view,TRUE,06-SAM-UN75DU7200B,"Screen Size: 75""; Resolution: 4K UHD; Features: Crystal UHD, Multi-View",,,,,,," N/A","Coverage Period: 29 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN75DU7200B
Samsung UN60JS7000F 60" UHD Smart LED TV,samsung-un60js7000f-60-uhd-smart-led-tv,televisions,SAMSUNG,"60-inch UHD Smart LED TV with 500VA transformer and Curved Screen.",9970.2,9970.2,1,(to be provided),television; 4k; led; samsung; curved,TRUE,06-SAM-UN60JS7000F,"Screen Size: 60""; Resolution: 4K UHD; Display Type: LED; Design: Curved Screen; Power Supply: 500VA",,,,,,," N/A","Coverage Period: 30 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN60JS7000F
Samsung UN65CU7000F 65" UHD 4K Smart TV,samsung-un65cu7000f-65-uhd-4k-smart-tv,televisions,SAMSUNG,"65-inch UHD 4K Smart TV with 300VA transformer and Quantum HDR.",3822.2,3822.2,1,(to be provided),television; 4k; smart; samsung; quantum-hdr,TRUE,06-SAM-UN65CU7000F,"Screen Size: 65""; Resolution: 4K UHD; HDR Support: Quantum HDR; Power Supply: 300VA",,,,,,," N/A","Coverage Period: 31 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN65CU7000F
Samsung UN50TU690TF 50" 4K Smart TV,samsung-un50tu690tf-50-4k-smart-tv,televisions,SAMSUNG,"50-inch 4K Smart TV with 200VA transformer and Tap View feature.",2647.12,2647.12,1,(to be provided),television; 4k; smart; samsung; tap-view,TRUE,06-SAM-UN50TU690TF,"Screen Size: 50""; Resolution: 4K UHD; Features: Tap View; Power Supply: 200VA",,,,,,," N/A","Coverage Period: 32 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN50TU690TF
Samsung UN75TU8000FXZ 75" Smart TV,samsung-un75tu8000fxz-75-smart-tv,televisions,SAMSUNG,"75-inch Smart TV with 500VA transformer and Ultra Viewing Angle.",6838.2,6838.2,1,(to be provided),television; 4k; smart; samsung; ultra-viewing,TRUE,06-SAM-UN75TU8000FXZ,"Screen Size: 75""; Resolution: 4K UHD; Features: Ultra Viewing Angle; Power Supply: 500VA",,,,,,," N/A","Coverage Period: 33 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,UN75TU8000FXZ
