name,slug,category,brand,description,listPrice,price,countInStock,images,tags,isPublished,sku,specifications,dimensions,weight,material,finish,energyRating,energyConsumption,capacity,warrantyDetails,installationRequired,modelNumber
Samsung UN50DU7200F 50 inch 4K Smart TV,samsung-un50du7200f-50-4k-smart-tv,televisions,SAMSUNG,50-inch 4K Smart TV with 200VA transformer and Object Tracking Sound.,,,1,(to be provided),television;4k;smart;samsung;ots,TRUE,06-SAM-UN50DU7200F,Screen Size:50 inch;Resolution:4K UHD;Sound Technology:Object Tracking Sound;Power Supply:200VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN50DU7200F
Samsung LH43BETHLGFXZ 43 inch 4K Smart TV,samsung-lh43bethlgfxz-43-4k-smart-tv,televisions,SAMSUNG,43-inch 4K Smart TV with 200VA transformer and anti-glare screen.,,,1,(to be provided),television;4k;smart;samsung;anti-glare,TRUE,06-SAM-LH43BETHLGFXZ,Screen Size:43 inch;Resolution:4K UHD;Features:Anti-Glare Screen;Power Supply:200VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,LH43BETHLGFXZ
Samsung BE32T-B 32 inch Smart LED TV,samsung-be32t-b-32-smart-led-tv,televisions,SAMSUNG,32-inch Smart LED TV with HD resolution and Samsung Health features.,,,1,(to be provided),television;led;smart;samsung;health,TRUE,06-SAM-BE32T-B,Screen Size:32 inch;Resolution:HD (720p);Smart Features:Samsung Health;Display Type:LED,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,BE32T-B
Samsung UN32N5300AF 32 inch Smart TV,samsung-un32n5300af-32-smart-tv,televisions,SAMSUNG,32-inch Smart TV with 100VA transformer and Clean Cable Solution.,,,1,(to be provided),television;smart;samsung;32-inch,TRUE,06-SAM-UN32N5300AF,Screen Size:32 inch;Resolution:HD (720p);Power Supply:100VA;Design:Clean Cable Solution,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN32N5300AF
Samsung UN50TU7000F 50 inch 4K Smart TV,samsung-un50tu7000f-50-4k-smart-tv,televisions,SAMSUNG,50-inch 4K Smart TV with 200VA transformer and Adaptive Picture.,,,1,(to be provided),television;4k;smart;samsung;adaptive-picture,TRUE,06-SAM-UN50TU7000F,Screen Size:50 inch;Resolution:4K UHD;Features:Adaptive Picture;Power Supply:200VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN50TU7000F
Samsung UN58TU7000P 58 inch 4K Smart TV,samsung-un58tu7000p-58-4k-smart-tv,televisions,SAMSUNG,58-inch 4K Smart TV with 300VA transformer and Ambient Mode.,,,1,(to be provided),television;4k;smart;samsung;ambient-mode,TRUE,06-SAM-UN58TU7000P,Screen Size:58 inch;Resolution:4K UHD;Features:Ambient Mode;Power Supply:300VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN58TU7000P
Samsung UN75DU7200B 75 inch 4K Smart TV,samsung-un75du7200b-75-4k-smart-tv,televisions,SAMSUNG,75-inch 4K Smart TV with Crystal UHD and Multi-View feature.,,,1,(to be provided),television;4k;smart;samsung;multi-view,TRUE,06-SAM-UN75DU7200B,Screen Size:75 inch;Resolution:4K UHD;Features:Crystal UHD Multi-View,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN75DU7200B
Samsung UN60JS7000F 60 inch UHD Smart LED TV,samsung-un60js7000f-60-uhd-smart-led-tv,televisions,SAMSUNG,60-inch UHD Smart LED TV with 500VA transformer and Curved Screen.,,,1,(to be provided),television;4k;led;samsung;curved,TRUE,06-SAM-UN60JS7000F,Screen Size:60 inch;Resolution:4K UHD;Display Type:LED;Design:Curved Screen;Power Supply:500VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN60JS7000F
Samsung UN65CU7000F 65 inch UHD 4K Smart TV,samsung-un65cu7000f-65-uhd-4k-smart-tv,televisions,SAMSUNG,65-inch UHD 4K Smart TV with 300VA transformer and Quantum HDR.,,,1,(to be provided),television;4k;smart;samsung;quantum-hdr,TRUE,06-SAM-UN65CU7000F,Screen Size:65 inch;Resolution:4K UHD;HDR Support:Quantum HDR;Power Supply:300VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN65CU7000F
Samsung UN50TU690TF 50 inch 4K Smart TV,samsung-un50tu690tf-50-4k-smart-tv,televisions,SAMSUNG,50-inch 4K Smart TV with 200VA transformer and Tap View feature.,,,1,(to be provided),television;4k;smart;samsung;tap-view,TRUE,06-SAM-UN50TU690TF,Screen Size:50 inch;Resolution:4K UHD;Features:Tap View;Power Supply:200VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN50TU690TF
Samsung UN75TU8000FXZ 75 inch Smart TV,samsung-un75tu8000fxz-75-smart-tv,televisions,SAMSUNG,75-inch Smart TV with 500VA transformer and Ultra Viewing Angle.,,,1,(to be provided),television;4k;smart;samsung;ultra-viewing,TRUE,06-SAM-UN75TU8000FXZ,Screen Size:75 inch;Resolution:4K UHD;Features:Ultra Viewing Angle;Power Supply:500VA,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN75TU8000FXZ
